[2025-10-03T19:42:33.086Z] JSON parse error: Expected ':' after property name in JSON at position 2297 (line 18 column 186)
[2025-10-03T20:06:21.347Z] JSON parse error: Unterminated string in JSON at position 2210 (line 15 column 1809)
[2025-10-03T20:07:23.084Z] JSON parse error: Bad control character in string literal in JSON at position 407 (line 15 column 10)
[2025-10-03T20:08:36.072Z] JSON parse error: Expected ':' after property name in JSON at position 2306 (line 16 column 1880)
[2025-10-03T20:09:33.718Z] JSON parse error: Unterminated string in JSON at position 2207 (line 15 column 1810)
[2025-10-03T21:29:42.537Z] GPT-4 API error: Connection error.
[2025-10-04T00:52:59.254Z] JSON parse error: Expected double-quoted property name in JSON at position 2245 (line 16 column 868)
[2025-10-04T00:54:13.362Z] JSON parse error: Expected double-quoted property name in JSON at position 2832 (line 42 column 1733)
[2025-10-04T00:54:59.912Z] JSON parse error: Expected double-quoted property name in JSON at position 2846 (line 42 column 1729)
[2025-10-04T01:30:09.328Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:30:14.093Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:30:18.535Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:30:56.585Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:31:31.839Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:31:36.215Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:31:40.433Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:31:44.781Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:31:48.880Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:31:53.146Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:32:15.267Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:32:33.797Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:32:38.036Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:32:42.270Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:32:46.658Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:33:05.572Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:33:10.025Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
[2025-10-04T01:33:34.282Z] GPT-4 API error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.
